127.0.0.1 - - [26/Apr/2023:13:38:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:47 +0530] "GET /E_Clothing/index.html HTTP/1.1" 200 43935
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:47 +0530] "GET /E_Clothing/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:47 +0530] "GET /E_Clothing/css/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:47 +0530] "GET /E_Clothing/img/carousel-1.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:47 +0530] "GET /E_Clothing/img/carousel-2.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:47 +0530] "GET /E_Clothing/img/cat-1.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:47 +0530] "GET /E_Clothing/img/cat-2.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:47 +0530] "GET /E_Clothing/lib/easing/easing.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:47 +0530] "GET /E_Clothing/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:47 +0530] "GET /E_Clothing/mail/jqBootstrapValidation.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:47 +0530] "GET /E_Clothing/mail/contact.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:47 +0530] "GET /E_Clothing/js/main.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:47 +0530] "GET /E_Clothing/img/cat-3.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:47 +0530] "GET /E_Clothing/img/cat-4.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/cat-5.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/cat-6.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/offer-1.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/product-2.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/product-1.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/offer-2.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/product-3.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/product-4.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/product-5.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/product-7.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/product-8.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/product-6.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/vendor-2.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/vendor-1.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/vendor-3.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/vendor-4.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/vendor-6.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/vendor-5.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/vendor-7.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/vendor-8.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:48 +0530] "GET /E_Clothing/img/payments.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:38:49 +0530] "GET /E_Clothing/img/favicon.ico HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:39:14 +0530] "GET /E_Clothing/shop.html HTTP/1.1" 200 37764
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:39:15 +0530] "GET /E_Clothing/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:39:15 +0530] "GET /E_Clothing/css/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:39:15 +0530] "GET /E_Clothing/img/product-2.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:39:15 +0530] "GET /E_Clothing/img/product-3.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:39:15 +0530] "GET /E_Clothing/img/product-4.jpg HTTP/1.1" 404 787
